# TotalStack Service Build Queue
# Format: SERVICE_NAME | STATUS | PRIORITY | TYPE | OPS_COUNT | NOTES
# STATUS: done, pending, in_progress, skipped
# PRIORITY: 1=TiER1-critical, 2=TIER2-high, 3=TIER2-medium, 4=TIER3-nice, 5=GRAY
# TYPE: PURE (build from AWS docs), OSS_WRAP (AWS docs + upstream OSS docs), 
#       SKIP_DEPRECATED, SKIP_HARDWARE, SKIP_MANAGEMENT, SKIP_NICHE, SKIP_GRAY
#
# See: specs/aws/SERVICE-CLASSIFICATION.md for full strategy
# See: specs/aws/oss-upstream-docs.yaml for OSS version tracking

# ===== TIER 1 — DONE (19 services) =====
translate | done | 1 | PURE | 19 | Simple stateless API
route53domains | pending | 5 | SKIP_GRAY | ? | Route53 domains
route53globalresolver | pending | 5 | SKIP_GRAY | ? | Global resolver
route53profiles | pending | 5 | SKIP_GRAY | ? | Route53 profiles
rtbfabric | pending | 5 | SKIP_GRAY | ? | Real-Time Bidding
rum | pending | 5 | SKIP_GRAY | ? | RUM monitoring
s3files | pending | 5 | SKIP_GRAY | ? | S3 Files
s3outposts | pending | 5 | SKIP_GRAY | ? | S3 on Outposts
s3vectors | pending | 5 | SKIP_GRAY | ? | S3 Vectors
sagemaker-a2i-runtime | pending | 5 | SKIP_GRAY | ? | A2I runtime
sagemaker-edge | pending | 5 | SKIP_GRAY | ? | Edge manager
sagemaker-featurestore-runtime | pending | 5 | SKIP_GRAY | ? | Feature store runtime
sagemaker-geospatial | pending | 5 | SKIP_GRAY | ? | Geospatial
sagemaker-metrics | pending | 5 | SKIP_GRAY | ? | Metrics
sagemaker-runtime | pending | 5 | SKIP_GRAY | ? | Inference runtime
sagemakerjobruntime | pending | 5 | SKIP_GRAY | ? | Job runtime
savingsplans | pending | 5 | SKIP_GRAY | ? | Savings plans
schemas | pending | 5 | SKIP_GRAY | ? | EventBridge schemas
securitylake | pending | 5 | SKIP_GRAY | ? | Security Lake
securityhub | pending | 5 | SKIP_GRAY | ? | Security Hub
service-quotas | pending | 5 | SKIP_GRAY | ? | Service quotas
servicediscovery | pending | 5 | SKIP_GRAY | ? | Cloud Map
signer-data | pending | 5 | SKIP_GRAY | ? | Signer data
signin | pending | 5 | SKIP_GRAY | ? | Sign-in
simpledbv2 | pending | 5 | SKIP_GRAY | ? | SimpleDB v2 — also deprecated
sms-voice | pending | 5 | SKIP_GRAY | ? | SMS voice
snow-device-management | pending | 5 | SKIP_GRAY | ? | Snow device mgmt
ssm-contacts | pending | 5 | SKIP_GRAY | ? | Incident Manager contacts
ssm-incidents | pending | 5 | SKIP_GRAY | ? | Incident Manager
ssm-quicksetup | pending | 5 | SKIP_GRAY | ? | Quick Setup
ssm-sap | pending | 5 | SKIP_GRAY | ? | SAP management
sso | pending | 5 | SKIP_GRAY | ? | SSO
sso-oidc | pending | 5 | SKIP_GRAY | ? | SSO OIDC
synthetics | pending | 5 | SKIP_GRAY | ? | CloudWatch Synthetics
uxc | pending | 5 | SKIP_GRAY | ? | User experience
vpc-lattice | pending | 5 | SKIP_GRAY | ? | VPC Lattice
wellarchitected | pending | 5 | SKIP_GRAY | ? | Well-Architected
wisdom | pending | 5 | SKIP_GRAY | ? | Wisdom/Knowledge Base
workspaces | pending | 5 | SKIP_GRAY | ? | WorkSpaces
workspaces-instances | pending | 5 | SKIP_GRAY | ? | WorkSpaces instances
workspaces-thin-client | pending | 5 | SKIP_GRAY | ? | WorkSpaces thin client
workspaces-web | pending | 5 | SKIP_GRAY | ? | WorkSpaces web
